Model,Crew Complement,Price,Rarity,No of Weapon Batteries,Special Features,Category
Ithorian Herd Ship,"3,000","600,000,000",9,20x,Flying City,Destroyers (Silhouette 8)
Maelstrom-class Battle Cruiser,"45,000","158,000,000",8,90x,Starfighters,Destroyers (Silhouette 8)
MC75 Star Cruiser,"3,225","88,000,000",8,46x,Starfighters,Destroyers (Silhouette 8)
MC80 Liberty Type Star Cruiser,"5,400","104,000,000",7,68x,Starfighters,Destroyers (Silhouette 8)
Mk IX Orbital Maintenance Depot,"20,500","22,000,000",7,24x,Repair Facilities & No Hyperdrive,Destroyers (Silhouette 8)
Providence-class Dreadnought,900,"400,585,000",9,176x,Well Rounded,Destroyers (Silhouette 8)
Secutor-Class Battlecarrier,"40,000","200,000,000",7,61x,Starfighters,Destroyers (Silhouette 8)
Venator-class Star Destroyer,"7,400","59,000,000",7,74x,Huge Number of Starfighters,Destroyers (Silhouette 8)
Victory-Class Star Destroyer,"6,017","50,000,000",6,50x,Cheaper Imperial Class,Destroyers (Silhouette 8)
Assertor-class Command Dreadnought,"125,000","1,100,000,000",10,280x,Inspiring Presence,Dreadnoughts (Silhouette 9)
Executor-class Star Dreadnought,"280,734","1,670,000,000",25,1520x,Inspiring Presence,Dreadnoughts (Silhouette 9)
Lucrehulk-class Battleship,175,"500,000,000",8,588x,"Substantial Droid, Vehicle & Starfighter Complement",Dreadnoughts (Silhouette 9)
MC80A Home One Type Heavy Star Cruiser,"5,480","112,000,000",8,152x,Inspiring Presence,Dreadnoughts (Silhouette 9)
Praetor II-class Star Battlecruiser,"109,000","700,000,000",9,140x,-,Dreadnoughts (Silhouette 9)
Subjugator-class Heavy Cruiser,"23,350","875,500,000",9,662x,Huge Ion Pulse Weapon,Dreadnoughts (Silhouette 9)
Armos Modular Transport,150,"780,000",8,-,Large Cargo & Extreme Sensors,Frigates (Silhouette 6)
Arquitens-class Light Cruiser,100 - 750,"4,000,000 - 5,000,000",5,4x - 16x,-,Frigates (Silhouette 6)
EF76 Nebulon-B Frigate,920,"8,500,000",7,24x,Starfighters,Frigates (Silhouette 6)
Kaminoan Observation Ship,6,"750,000",7,-,Laboratories,Frigates (Silhouette 6)
MC30c Frigate,820,"9,500,00",6,38x,Cluster Bombs,Frigates (Silhouette 6)
MC40a Light Cruiser,"3,770","15,500,000",6,36x,Good Shields,Frigates (Silhouette 6)
Pelta-class Frigate,900,"7,250,000",6,5x,-,Frigates (Silhouette 6)
Quasar Fire-Class Escort Carrier,250,"1,750,000",6,2x,Starfighters,Frigates (Silhouette 6)
Starbolt Assault Carrier,800,"10,000,000",8,9x,Starfighters & Vehicles,Frigates (Silhouette 6)
Surveyor-class Reconnaissance Frigate,900,"9,600,00",8,20x,Sensor Suites,Frigates (Silhouette 6)
Ubrikkian Industries Kossak-class Frigate,975,"8,300,000",7,28x,Starfighters,Frigates (Silhouette 6)
Xanter-class Deep-Space Exploration Frigate,150,"3,750,000",7,10x,-,Frigates (Silhouette 6)
Acclamator-class Planetary Assault Ship,700,"110,000,000",8,40x,Large Vehicle Complement,Heavy Cruisers (Silhouette 7)
Assault Frigate Mark II,"4,820","12,250,000",6,40x,High Defense,Heavy Cruisers (Silhouette 7)
Dreadnought-Class Heavy Cruiser,"9,000 - 16,000","7,200,000",6,40x,-,Heavy Cruisers (Silhouette 7)
Firestar II-Class Orbital Defense Station,300,"8,500,000",8,72x,Supply and repair Function,Heavy Cruisers (Silhouette 7)
Gladiator-class Star Destroyer,"1,255","34,000,000",7,32x,Starfighters,Heavy Cruisers (Silhouette 7)
Haven-class Mobile Space Dock,"4,500","38,000,000",9,72x,can fit frigates and smaller in dock,Heavy Cruisers (Silhouette 7)
Indulgent-class Luxury Starliner,850,"25,500,000",7,4x,Heavy Ion Cannons,Heavy Cruisers (Silhouette 7)
Interdictor-class Heavy Cruiser,"2,807","15,400,000",8,20x,Gravity Well Projectors,Heavy Cruisers (Silhouette 7)
Keldabe-class Battleship,"6,000","200,000,000",8,42x,Shield Absorbers,Heavy Cruisers (Silhouette 7)
"Munificent-class Command, Control, and Communications Frigate","1,100","12,300,000",9,68x,Command Suite,Heavy Cruisers (Silhouette 7)
Munificent-class Heavy Frigate,200,"12,000,000",7,102x,Heavy Ion Cannons,Heavy Cruisers (Silhouette 7)
Rendili StarDrive Neutron Star-class Bulk Cruiser,"2,200","2,800,000",4,49x,-,Heavy Cruisers (Silhouette 7)
Ton-Falk-Class Escort Carrier,"4,000","3,500,000",7,11x,Starfighters,Heavy Cruisers (Silhouette 7)
Vindicator-Class Heavy Cruiser,"2,551","10,400,000",8,55x,Starfighters,Heavy Cruisers (Silhouette 7)
